   ic    phi          rho         theta         alfa       epsilon         mu           r            b          gamma
   1 3.539304e-01 3.651682e-01 2.937063e-06 2.789011e-08 1.353426e-01 6.642198e-03 4.457318e-02 1.238923e-12 1.978984e-06  
   2 3.984030e-01 4.952535e-01 7.625939e-06 4.824343e-08 1.926609e-01 5.322859e-03 7.559336e-02 1.181337e-12 4.474042e-06  
   3 3.192646e-01 3.858002e-01 9.031193e-06 4.584087e-08 2.100205e-01 6.681739e-03 7.342980e-02 1.350871e-12 5.544709e-06  
   4 3.118916e-01 3.200695e-01 7.728313e-06 3.770267e-08 6.294095e-02 5.864731e-03 5.380249e-02 1.739881e-12 4.669652e-06  
   5 2.069428e-01 2.754840e-01 3.731352e-06 2.509444e-08 1.069371e-01 4.310340e-03 4.859312e-02 8.053785e-13 2.839176e-06  
   6 3.284640e-01 4.730993e-01 7.135304e-06 6.535678e-08 1.597119e-01 2.349797e-03 8.243126e-02 2.226206e-12 4.964745e-06  
   7 3.338728e-01 3.822784e-01 3.924934e-06 7.069343e-08 1.894160e-01 2.035147e-03 6.002007e-02 1.315544e-12 4.628421e-06  
   8 3.135991e-01 3.809258e-01 3.820748e-06 2.027607e-08 2.201862e-01 4.851044e-03 4.483960e-02 1.579370e-12 2.056355e-06  
   9 1.521953e-01 1.657561e-01 4.980509e-06 5.123261e-08 1.396804e-01 2.910723e-03 5.756525e-02 9.577222e-13 4.646444e-06  
  10 1.818926e-01 3.229153e-01 8.832342e-06 4.400592e-08 1.527719e-01 3.200859e-03 6.038950e-02 8.898605e-13 2.639706e-06  
  11 2.008995e-01 2.434352e-01 3.448370e-06 5.059647e-08 6.900565e-02 6.340048e-03 6.371076e-02 2.109542e-12 2.391807e-06  
  12 4.165389e-01 4.443627e-01 4.284758e-06 6.760169e-08 1.214120e-01 6.780846e-03 7.097164e-02 1.303254e-12 5.904873e-06  
  13 2.210042e-01 2.824763e-01 9.478392e-06 5.832034e-08 1.384511e-01 4.541355e-03 5.720266e-02 7.097793e-13 4.252343e-06  
  14 1.874675e-01 3.348105e-01 4.770086e-06 5.427023e-08 2.376912e-01 4.189317e-03 8.680363e-02 2.195725e-12 1.733420e-06  
  15 2.712238e-01 2.811870e-01 8.883494e-06 6.919166e-08 1.548646e-01 6.781192e-03 8.275244e-02 1.292249e-12 5.534712e-06  
  16 1.498271e-01 1.648418e-01 5.103645e-06 2.635876e-08 2.374661e-01 5.322584e-03 7.641491e-02 6.290339e-13 1.512760e-06  
  17 2.407074e-01 2.677003e-01 3.458673e-06 2.192037e-08 1.823867e-01 5.445421e-03 9.010552e-02 2.075345e-12 3.278083e-06  
  18 1.433903e-01 2.234607e-01 7.358146e-06 2.985980e-08 2.212571e-01 2.331062e-03 5.342370e-02 1.661651e-12 5.430278e-06  
  19 1.472698e-01 3.399511e-01 2.841072e-06 6.115960e-08 2.236647e-01 4.665492e-03 4.679015e-02 6.106879e-13 5.822664e-06  
  20 3.290074e-01 4.671847e-01 4.658484e-06 3.638839e-08 2.315802e-01 5.625157e-03 7.854803e-02 1.125269e-12 2.830402e-06  
  21 1.226412e-01 1.409386e-01 9.051652e-06 4.299847e-08 2.164830e-01 3.772914e-03 5.168065e-02 1.582655e-12 1.858359e-06  
  22 2.686596e-01 2.686800e-01 8.509367e-06 3.912384e-08 1.365739e-01 3.176914e-03 7.008236e-02 1.771783e-12 5.410041e-06  
  23 2.453597e-01 2.995256e-01 8.922871e-06 2.249413e-08 1.215629e-01 2.592465e-03 4.918092e-02 1.590806e-12 4.884471e-06  
  24 2.299615e-01 3.695941e-01 3.705111e-06 5.351425e-08 1.795952e-01 2.522045e-03 6.998477e-02 1.950014e-12 1.642020e-06  
  25 3.122443e-01 3.528896e-01 9.118257e-06 5.293005e-08 1.111485e-01 5.755419e-03 8.360499e-02 1.718994e-12 5.880818e-06  
  26 1.550319e-01 1.816003e-01 6.886135e-06 2.486007e-08 7.478122e-02 2.315050e-03 5.735366e-02 7.469783e-13 3.478743e-06  
  27 3.477760e-01 5.045420e-01 7.704096e-06 2.464084e-08 2.387663e-01 7.370899e-03 5.143637e-02 1.453149e-12 2.209290e-06  
  28 3.226216e-01 4.054021e-01 6.659458e-06 5.412388e-08 1.937522e-01 4.227876e-03 6.043942e-02 2.207696e-12 5.708981e-06  
  29 3.260439e-01 5.268259e-01 3.044365e-06 4.965126e-08 2.010962e-01 4.461557e-03 7.755828e-02 1.676984e-12 5.408896e-06  
  30 1.158466e-01 1.888621e-01 7.931296e-06 6.416948e-08 1.409934e-01 4.074822e-03 6.702326e-02 2.111367e-12 5.312631e-06  
  31 3.417224e-01 5.466679e-01 6.193833e-06 1.862650e-08 2.120128e-01 4.082447e-03 8.263337e-02 1.231890e-12 4.492024e-06  
  32 3.854222e-01 5.116153e-01 8.950707e-06 2.367402e-08 1.374935e-01 3.384813e-03 5.982280e-02 6.615562e-13 3.101322e-06  
  33 2.290497e-01 2.393147e-01 4.868089e-06 3.525672e-08 1.315479e-01 3.041259e-03 6.539366e-02 2.218096e-12 3.894139e-06  
  34 3.584236e-01 3.801897e-01 6.377043e-06 6.498499e-08 2.280134e-01 2.420761e-03 5.625235e-02 6.866423e-13 2.088311e-06  
  35 3.422122e-01 3.883080e-01 3.337602e-06 2.725070e-08 1.495078e-01 3.129654e-03 5.701855e-02 1.950184e-12 5.427310e-06  
  36 1.437967e-01 3.369186e-01 6.329109e-06 2.043213e-08 2.280197e-01 3.406545e-03 5.251983e-02 8.013233e-13 4.121179e-06  
  37 2.551627e-01 2.986234e-01 6.812004e-06 7.167575e-08 1.413997e-01 2.859966e-03 5.423060e-02 6.467706e-13 2.253394e-06  
  38 4.022004e-01 4.367469e-01 7.845434e-06 5.385019e-08 9.972061e-02 3.996573e-03 5.765827e-02 2.098053e-12 5.786320e-06  
  39 1.522547e-01 2.626432e-01 2.671638e-06 6.618283e-08 1.655703e-01 6.408282e-03 6.371558e-02 1.228746e-12 4.999612e-06  
  40 1.538546e-01 1.984233e-01 7.473491e-06 3.159438e-08 1.960568e-01 3.595594e-03 6.973578e-02 1.321854e-12 2.250263e-06  
  41 2.229351e-01 3.133994e-01 7.567329e-06 6.977585e-08 1.992932e-01 7.817124e-03 5.918707e-02 1.924621e-12 5.177415e-06  
  42 2.104661e-01 3.105995e-01 4.912782e-06 3.616980e-08 1.169340e-01 3.806229e-03 7.581650e-02 1.995117e-12 5.614448e-06  
  43 2.444896e-01 3.751942e-01 7.092926e-06 6.934193e-08 1.796183e-01 6.948275e-03 4.697674e-02 9.562236e-13 2.463623e-06  
  44 4.064688e-01 5.477595e-01 4.029670e-06 1.949688e-08 1.838991e-01 7.728431e-03 8.956558e-02 9.654544e-13 1.627800e-06  
  45 3.910683e-01 5.435459e-01 4.791231e-06 1.867835e-08 1.997648e-01 6.668544e-03 6.666914e-02 2.127535e-12 2.457907e-06  
  46 2.804648e-01 3.940615e-01 6.172915e-06 3.110851e-08 2.310853e-01 7.826262e-03 8.989275e-02 1.824939e-12 5.497552e-06  
  47 1.936712e-01 2.211875e-01 5.173467e-06 1.814169e-08 7.579104e-02 2.001338e-03 8.608154e-02 1.442678e-12 5.362944e-06  
  48 1.782198e-01 2.725527e-01 5.480245e-06 5.003882e-08 1.536021e-01 6.580481e-03 5.921202e-02 2.203421e-12 3.012026e-06  
  49 3.208039e-01 4.641489e-01 2.757831e-06 6.243718e-08 1.794634e-01 4.551753e-03 4.156878e-02 1.801537e-12 1.856425e-06  
  50 1.833285e-01 2.412930e-01 7.720812e-06 3.753069e-08 8.468958e-02 6.125126e-03 4.936412e-02 1.303885e-12 5.330132e-06  
  51 2.247147e-01 2.976259e-01 7.160621e-06 5.952221e-08 2.364865e-01 3.765233e-03 5.878591e-02 1.096216e-12 5.415295e-06  
  52 3.047610e-01 4.098983e-01 6.705841e-06 2.507732e-08 1.903304e-01 7.985295e-03 5.603535e-02 2.170565e-12 3.338175e-06  
  53 2.758721e-01 3.572254e-01 8.347735e-06 6.565423e-08 1.443946e-01 3.327532e-03 8.139385e-02 1.505000e-12 5.316795e-06  
  54 3.623335e-01 4.353540e-01 5.781300e-06 6.970271e-08 1.046670e-01 4.184880e-03 7.197931e-02 5.654913e-13 4.592728e-06  
  55 1.540623e-01 1.968628e-01 2.717115e-06 6.321206e-08 7.086201e-02 7.746224e-03 6.865687e-02 2.175006e-12 5.051298e-06  
  56 4.146871e-01 4.437530e-01 5.978496e-06 2.166633e-08 1.521606e-01 6.166590e-03 4.541552e-02 1.075921e-12 1.674723e-06  
  57 2.448165e-01 4.193502e-01 9.511284e-06 4.861452e-08 1.958427e-01 7.190652e-03 4.724858e-02 1.560448e-12 4.228666e-06  
  58 1.349190e-01 1.753277e-01 6.617777e-06 6.809987e-08 1.772977e-01 6.821871e-03 8.773218e-02 1.785901e-12 5.939870e-06  
  59 4.158710e-01 4.930460e-01 5.520548e-06 4.818116e-08 1.525203e-01 2.475846e-03 4.777375e-02 1.397781e-12 4.017162e-06  
  60 3.567070e-01 4.113464e-01 7.437450e-06 3.081934e-08 2.390463e-01 4.100973e-03 7.538460e-02 1.871924e-12 4.429834e-06  
  61 3.561789e-01 4.158645e-01 3.865519e-06 6.737563e-08 2.395110e-01 4.047199e-03 6.652748e-02 1.398167e-12 4.037628e-06  
  62 3.222029e-01 4.174906e-01 6.108620e-06 5.925659e-08 1.851918e-01 2.552129e-03 5.924284e-02 1.155353e-12 3.301761e-06  
  63 1.672844e-01 2.640629e-01 9.082194e-06 2.327216e-08 1.097761e-01 5.305726e-03 6.513119e-02 6.905196e-13 2.953626e-06  
  64 3.548120e-01 4.863601e-01 5.773802e-06 7.143769e-08 1.382909e-01 5.351172e-03 6.568469e-02 1.682389e-12 2.521726e-06  
  65 2.561051e-01 3.686036e-01 6.920174e-06 5.435114e-08 1.744806e-01 7.938583e-03 5.637566e-02 6.770404e-13 5.647510e-06  
  66 3.571362e-01 3.718799e-01 8.824333e-06 2.624793e-08 1.640572e-01 5.568356e-03 5.973774e-02 8.294357e-13 5.404679e-06  
  67 1.408492e-01 2.320340e-01 9.154628e-06 6.888299e-08 1.462282e-01 3.903041e-03 4.279030e-02 1.469989e-12 4.790422e-06  
  68 3.833619e-01 4.744476e-01 7.363269e-06 4.023924e-08 2.284947e-01 5.740095e-03 5.868607e-02 8.079360e-13 5.066269e-06  
  69 1.749160e-01 2.093841e-01 3.501986e-06 1.968309e-08 7.890058e-02 7.098997e-03 8.471907e-02 1.134055e-12 3.561594e-06  
  70 1.726131e-01 1.950110e-01 3.800927e-06 3.801114e-08 1.144928e-01 6.862055e-03 8.920595e-02 1.615091e-12 3.388760e-06  
  71 1.388122e-01 1.475783e-01 5.791159e-06 6.556477e-08 1.061484e-01 2.436345e-03 7.533860e-02 1.292275e-12 2.418316e-06  
  72 4.166491e-01 4.567771e-01 4.017250e-06 3.835041e-08 1.144745e-01 4.734207e-03 6.023030e-02 1.702399e-12 5.704042e-06  
  73 2.933471e-01 3.176241e-01 2.478648e-06 2.703946e-08 1.146910e-01 4.717738e-03 6.970238e-02 6.377365e-13 5.029419e-06  
  74 3.750758e-01 4.935215e-01 7.645231e-06 2.083012e-08 1.407180e-01 5.678923e-03 4.453716e-02 1.873645e-12 5.532430e-06  
  75 1.369930e-01 2.120436e-01 2.561624e-06 3.644697e-08 1.995293e-01 2.307758e-03 4.410670e-02 6.530392e-13 5.606995e-06  
  76 2.321617e-01 3.415688e-01 3.918780e-06 1.920333e-08 1.879302e-01 3.325776e-03 6.475573e-02 7.250002e-13 3.659256e-06  
  77 2.684818e-01 3.467290e-01 6.881671e-06 2.980995e-08 2.200364e-01 7.531203e-03 6.642837e-02 7.048240e-13 4.445758e-06  
  78 3.658025e-01 4.204537e-01 7.807688e-06 4.739091e-08 1.933175e-01 6.098847e-03 5.339918e-02 2.224443e-12 2.529139e-06  
  79 1.293077e-01 1.737546e-01 3.936710e-06 2.604632e-08 2.219503e-01 3.593266e-03 6.098009e-02 1.908343e-12 3.821282e-06  
  80 3.672457e-01 3.931050e-01 7.509543e-06 6.806390e-08 2.061422e-01 6.163891e-03 8.960703e-02 1.448680e-12 4.631925e-06  
